annotation_gene_id	structural_hit_id	structural_hit_name	tm_score	probability	evidence_source	notes	tool	tool_version	database	database_version	command	run_date	input_checksum	output_checksum
phagehostlearn_2024_phage_K21lambda1|prodigal_00024	protein148863	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=YCQYJBNC_CDS_0026; feature_type=tail_fiber; annotation_confidence=low; evalue=3.036e-10; query_coverage=0.69; target_coverage=0.72; prostt5_confidence=52.650001525878906	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	da1ccf7689a1b393967a7ffa0965f2acd57a79ea63cd1c9fffbe6e19a14c8332
phagehostlearn_2024_phage_S13f|prodigal_00083	envhog_6fBd6	tail spike protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=LYIZGAAF_CDS_0094; feature_type=tailspike; annotation_confidence=medium; evalue=4.843e-16; query_coverage=0.98; target_coverage=0.3; prostt5_confidence=50.08000183105469	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	88b5591602bd8c63aa637a953e7141c3a48f7586f200b7d2ae8104c2924a1f56
phagehostlearn_2024_phage_A1g|prodigal_00057	envhog_32Aac	tail spike protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=AALOSDPL_CDS_0063; feature_type=tailspike; annotation_confidence=medium; evalue=1.822e-24; query_coverage=0.99; target_coverage=0.77; prostt5_confidence=54.20000076293945	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	1b7d78d765d9bc7b08fe37d978d74bcc1671704a2b29f659d26cb37433e04479
phagehostlearn_2024_phage_M5a|prodigal_00152	protein136991	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=APTEREEF_CDS_0181; feature_type=tail_fiber; annotation_confidence=high; evalue=5.220e-26; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=54.75	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	fe3326ffe8dc37b991c7a2ba1a48a83c111e2c34cc3d4d894d7055bb42f0d891
phagehostlearn_2024_phage_M5a|prodigal_00156	protein470971	baseplate wedge subunit			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=APTEREEF_CDS_0185; feature_type=baseplate; annotation_confidence=high; evalue=3.077e-25; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=48.68999862670898	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	516b431c623066edcd216198bfe0a8c54d727bdb1c82fd584b158594ccf41604
phagehostlearn_2024_phage_M5a|prodigal_00158	protein357834	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=APTEREEF_CDS_0187; feature_type=tail_fiber; annotation_confidence=low; evalue=1.458e-23; query_coverage=0.11; target_coverage=0.22; prostt5_confidence=35.130001068115234	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	8037236b544ef851ec9fd48a48a73d012b6e06375223c0451f956a0da77235b5
phagehostlearn_2024_phage_M5b|prodigal_00087	protein867395	tail spike protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=XBSLYJAZ_CDS_0096; feature_type=tailspike; annotation_confidence=medium; evalue=1.864e-10; query_coverage=0.83; target_coverage=0.19; prostt5_confidence=56.560001373291016	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	357c12538f951c1655fcb95b3f8600e46444f01727ee5b9f7a087431a3e6fc9f
phagehostlearn_2024_phage_M5b|prodigal_00090	protein470971	baseplate wedge subunit			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=XBSLYJAZ_CDS_0099; feature_type=baseplate; annotation_confidence=high; evalue=5.559e-25; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=49.150001525878906	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	238b0db8186ac2e89eb64a006d00859e7c304aa7c148cf431e6062102aa00222
phagehostlearn_2024_phage_M5b|prodigal_00094	protein136991	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=XBSLYJAZ_CDS_0103; feature_type=tail_fiber; annotation_confidence=high; evalue=3.510e-28; query_coverage=0.99; target_coverage=0.99; prostt5_confidence=54.52999877929688	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	86df4a08423b2e8ab68860ae8b562c89080487178cc8299bb2095933d7b64120
phagehostlearn_2024_phage_K18PH07C1|prodigal_00083	protein470971	baseplate wedge subunit			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=NJFEHXFP_CDS_0089; feature_type=baseplate; annotation_confidence=high; evalue=2.774e-25; query_coverage=1.0; target_coverage=1.0; prostt5_confidence=48.84999847412109	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	1e911d5bd023d9198dfee56676ea7f51a88a8922fec7efcc8018364daae130df
phagehostlearn_2024_phage_K18PH07C1|prodigal_00089	protein136991	tail fiber protein			Phold/Foldseek receptor-like structural annotation mapped by coordinate overlap	Computational structural/remote-homology candidate only; not capsule specificity or functional validation; phold_cds_id=NJFEHXFP_CDS_0095; feature_type=tail_fiber; annotation_confidence=high; evalue=3.318e-27; query_coverage=0.99; target_coverage=0.99; prostt5_confidence=54.20000076293945	Phold/Foldseek	Phold 1.2.5; Foldseek 10.941cd33	Phold Foldseek structural database	reviewed_local_phold_run	python scripts/run_phold_pilot.py --analysis-label full 105 assay phages; python scripts/build_phold_foldseek_structural_evidence.py	2026-06-21	133e14c295b6ce4c596f66e0eb5ba21712557e3205e16178c78ea04259e8b1e3	85f6f44b436751219f042a03ec0095461451b7fa6e638411da04476ecd96fadb
