genome_id_1	genome_id_2	identity_percent	coverage_percent	method	evidence_source	notes
Klebsiella phage PhiKpNIH-2	NTUH-K2044_PhiSpy_pp1_NC_012731.1_2098066_2113724	0.000	0.000	blastn_local_pairwise_min_hsp_100	build_blastn_pairwise_similarity.py	Local BLASTN bridge evidence generated from sequence-QC-passing FASTA records; task=blastn; min_hsp_length=100; coverage is reciprocal minimum non-overlapping aligned fraction; not a VIRIDIC/Mash substitute.
Klebsiella phage PhiKpNIH-2	phagehostlearn_2024_phage_A1a	0.000	0.000	blastn_local_pairwise_min_hsp_100	build_blastn_pairwise_similarity.py	Local BLASTN bridge evidence generated from sequence-QC-passing FASTA records; task=blastn; min_hsp_length=100; coverage is reciprocal minimum non-overlapping aligned fraction; not a VIRIDIC/Mash substitute.
Klebsiella phage PhiKpNIH-2	phagehostlearn_2024_phage_A1b	65.358	0.859	blastn_local_pairwise_min_hsp_100	build_blastn_pairwise_similarity.py	Local BLASTN bridge evidence generated from sequence-QC-passing FASTA records; task=blastn; min_hsp_length=100; coverage is reciprocal minimum non-overlapping aligned fraction; not a VIRIDIC/Mash substitute.
Klebsiella phage PhiKpNIH-2	phagehostlearn_2024_phage_A1c	0.000	0.000	blastn_local_pairwise_min_hsp_100	build_blastn_pairwise_similarity.py	Local BLASTN bridge evidence generated from sequence-QC-passing FASTA records; task=blastn; min_hsp_length=100; coverage is reciprocal minimum non-overlapping aligned fraction; not a VIRIDIC/Mash substitute.
Klebsiella phage PhiKpNIH-2	phagehostlearn_2024_phage_A1d	0.000	0.000	blastn_local_pairwise_min_hsp_100	build_blastn_pairwise_similarity.py	Local BLASTN bridge evidence generated from sequence-QC-passing FASTA records; task=blastn; min_hsp_length=100; coverage is reciprocal minimum non-overlapping aligned fraction; not a VIRIDIC/Mash substitute.
Klebsiella phage PhiKpNIH-2	phagehostlearn_2024_phage_A1e	0.000	0.000	blastn_local_pairwise_min_hsp_100	build_blastn_pairwise_similarity.py	Local BLASTN bridge evidence generated from sequence-QC-passing FASTA records; task=blastn; min_hsp_length=100; coverage is reciprocal minimum non-overlapping aligned fraction; not a VIRIDIC/Mash substitute.
Klebsiella phage PhiKpNIH-2	phagehostlearn_2024_phage_A1f	0.000	0.000	blastn_local_pairwise_min_hsp_100	build_blastn_pairwise_similarity.py	Local BLASTN bridge evidence generated from sequence-QC-passing FASTA records; task=blastn; min_hsp_length=100; coverage is reciprocal minimum non-overlapping aligned fraction; not a VIRIDIC/Mash substitute.
Klebsiella phage PhiKpNIH-2	phagehostlearn_2024_phage_A1g	66.744	0.859	blastn_local_pairwise_min_hsp_100	build_blastn_pairwise_similarity.py	Local BLASTN bridge evidence generated from sequence-QC-passing FASTA records; task=blastn; min_hsp_length=100; coverage is reciprocal minimum non-overlapping aligned fraction; not a VIRIDIC/Mash substitute.
Klebsiella phage PhiKpNIH-2	phagehostlearn_2024_phage_A1h	66.744	0.859	blastn_local_pairwise_min_hsp_100	build_blastn_pairwise_similarity.py	Local BLASTN bridge evidence generated from sequence-QC-passing FASTA records; task=blastn; min_hsp_length=100; coverage is reciprocal minimum non-overlapping aligned fraction; not a VIRIDIC/Mash substitute.
Klebsiella phage PhiKpNIH-2	phagehostlearn_2024_phage_A1i	66.210	0.863	blastn_local_pairwise_min_hsp_100	build_blastn_pairwise_similarity.py	Local BLASTN bridge evidence generated from sequence-QC-passing FASTA records; task=blastn; min_hsp_length=100; coverage is reciprocal minimum non-overlapping aligned fraction; not a VIRIDIC/Mash substitute.
Klebsiella phage PhiKpNIH-2	phagehostlearn_2024_phage_A1j	65.820	0.859	blastn_local_pairwise_min_hsp_100	build_blastn_pairwise_similarity.py	Local BLASTN bridge evidence generated from sequence-QC-passing FASTA records; task=blastn; min_hsp_length=100; coverage is reciprocal minimum non-overlapping aligned fraction; not a VIRIDIC/Mash substitute.
Klebsiella phage PhiKpNIH-2	phagehostlearn_2024_phage_A1k	0.000	0.000	blastn_local_pairwise_min_hsp_100	build_blastn_pairwise_similarity.py	Local BLASTN bridge evidence generated from sequence-QC-passing FASTA records; task=blastn; min_hsp_length=100; coverage is reciprocal minimum non-overlapping aligned fraction; not a VIRIDIC/Mash substitute.
Klebsiella phage PhiKpNIH-2	phagehostlearn_2024_phage_A1l	67.206	0.859	blastn_local_pairwise_min_hsp_100	build_blastn_pairwise_similarity.py	Local BLASTN bridge evidence generated from sequence-QC-passing FASTA records; task=blastn; min_hsp_length=100; coverage is reciprocal minimum non-overlapping aligned fraction; not a VIRIDIC/Mash substitute.
